lat,lon,value
54.0,80.0,2.9627294540405273
54.0,50.0,3.6141908168792725
46.0,5.0,6.37563419342041
50.0,75.0,1.1502560377120972
50.0,70.0,0.8867084980010986
50.0,115.0,1.487951636314392
46.0,115.0,1.3659285306930542
46.0,120.0,3.2286064624786377
54.0,10.0,6.687418460845947
50.0,5.0,7.589487075805664
50.0,255.0,2.1043288707733154
38.0,125.0,7.732083320617676
54.0,75.0,1.7871886491775513
54.0,65.0,2.2134385108947754
54.0,70.0,2.0442872047424316
50.0,0.0,
54.0,350.0,4.454049587249756
46.0,0.0,4.5208892822265625
50.0,250.0,1.559120774269104
34.0,125.0,
