lat,lon,value
62.0,340.0,
70.0,55.0,0.42242017673209126
30.0,90.0,0.6267637711544382
74.0,70.0,
78.0,110.0,
66.0,340.0,
74.0,140.0,
74.0,75.0,
74.0,145.0,
70.0,40.0,
62.0,195.0,0.7106934566658034
74.0,130.0,
66.0,335.0,
50.0,100.0,1.2108406947032162
34.0,95.0,0.6667759495591954
74.0,235.0,
74.0,135.0,
62.0,185.0,
34.0,100.0,1.20178191334471
58.0,170.0,
