region,lai_modis,lai_modis_summer,lai_modis_annual_max,lai_avhrr,lai_avhrr_summer,lai_avhrr_annual_max,gpp_fluxcom,gpp_fluxcom_summer,gpp_fluxcom_annual_max,gpp_wecann,gpp_wecann_summer,gpp_wecann_annual_max
north_65,0.3644864559173584,,,0.6995987296104431,,,0.34605443477630615,,,0.904107025287265,,
BDTs,1.9928790837526322,3.258578199148178,,1.780049005150795,3.5142429947853087,3.9945685267448425,3.0621298015117646,7.732490158081054,9.028935217857361,3.1803846293491382,6.88244370974501,7.652644168113032
BETs,4.424732600941377,4.515036975636201,,4.34570003218121,4.778677258226606,5.58133069674174,8.29042558109059,7.790496770073386,9.012419560376335,6.88247688099561,6.473850081097166,7.772878357429697
ENTs,2.4955887719988823,3.075233608484268,,1.4071485921740532,2.96109901368618,3.369597554206848,1.9406124204397202,5.609675884246826,6.390218824148178,1.644702727158755,4.345991963645308,4.983332691292756
AC3G,0.5033888171116511,1.0773194084564846,,0.5577961901823679,1.1508833939830463,1.4544795701901119,0.5654202128450075,2.4041435917218528,3.1059513489405313,0.8065459936932425,2.3452966968062103,3.057155041779758
C3G,0.8660195105605655,1.3759510185983446,,0.9419912017054028,1.7488234837849934,2.123669981956482,1.4183785965045292,3.4313498536745706,4.20640707678265,2.0634618794790205,4.932616282502155,5.864419797668048
C4,0.8124815339551252,0.7914875228615368,,0.8709040003664353,0.8998230941155377,1.6758846710709965,2.07464779475156,2.443210544064641,5.326576457304113,2.3757059562902345,2.67753203704019,6.117533114123008
