lat,lon,value
10.0,10.0,1.0600441694259644
-18.0,30.0,0.7358648180961609
-10.0,320.0,0.6771081686019897
14.0,20.0,0.19647587835788727
-6.0,325.0,
2.0,45.0,0.5356452465057373
-14.0,125.0,
10.0,0.0,1.0994712114334106
-22.0,30.0,0.8866660594940186
14.0,345.0,0.4680417478084564
-2.0,40.0,1.1661429405212402
-2.0,45.0,
10.0,15.0,0.8804196715354919
-22.0,25.0,0.3558257818222046
-18.0,25.0,0.927495539188385
10.0,25.0,1.3424545526504517
14.0,350.0,0.8318101763725281
10.0,20.0,1.3560184240341187
14.0,355.0,0.3692595660686493
-18.0,20.0,0.5665439367294312
