lat,lon,value
10.0,10.0,2.236063241958618
-18.0,30.0,1.8377872705459595
-10.0,320.0,1.5610634088516235
14.0,20.0,0.6672413349151611
-6.0,325.0,
2.0,45.0,1.481227159500122
-14.0,125.0,
10.0,0.0,1.9728449583053589
-22.0,30.0,1.4630266427993774
14.0,345.0,1.76819908618927
-2.0,40.0,1.9202107191085815
-2.0,45.0,
10.0,15.0,1.6883622407913208
-22.0,25.0,0.8527778387069702
-18.0,25.0,1.8994252681732178
10.0,25.0,2.2452585697174072
14.0,350.0,1.9216474294662476
10.0,20.0,2.4452106952667236
14.0,355.0,0.9224616885185242
-18.0,20.0,1.607231855392456
